timestamp,temperature_f,humidity_percent,noise_level_db,kennel_section
2025-10-16T07:00:00Z,72.5,45.2,35.8,A
2025-10-16T07:30:00Z,73.1,46.1,38.2,A
2025-10-16T08:00:00Z,74.2,47.5,42.1,A
2025-10-16T08:30:00Z,75.0,48.3,39.7,A
2025-10-16T09:00:00Z,76.1,49.1,44.3,A
2025-10-16T09:30:00Z,77.3,50.0,46.8,A
2025-10-16T10:00:00Z,78.5,51.2,43.5,A
2025-10-16T10:30:00Z,79.2,52.1,41.2,A
2025-10-16T11:00:00Z,80.1,53.0,45.7,A
2025-10-16T11:30:00Z,81.0,54.2,47.9,A
2025-10-16T12:00:00Z,82.3,55.1,44.1,A
2025-10-16T12:30:00Z,83.1,56.0,42.8,A
2025-10-16T13:00:00Z,83.8,56.8,46.3,A
2025-10-16T13:30:00Z,84.2,57.2,48.5,A
2025-10-16T14:00:00Z,84.0,56.9,45.2,A
2025-10-16T14:30:00Z,83.5,56.3,43.7,A
2025-10-16T15:00:00Z,82.8,55.7,41.9,A
2025-10-16T15:30:00Z,81.9,54.8,39.8,A
2025-10-16T16:00:00Z,80.7,53.5,37.6,A
2025-10-16T16:30:00Z,79.4,52.1,35.4,A
2025-10-16T17:00:00Z,78.1,50.8,33.8,A
2025-10-16T17:30:00Z,76.8,49.5,32.1,A
2025-10-16T18:00:00Z,75.3,48.2,30.9,A
2025-10-16T18:30:00Z,74.1,47.1,29.7,A
2025-10-16T07:00:00Z,71.8,44.8,33.5,B
2025-10-16T07:30:00Z,72.4,45.6,36.9,B
2025-10-16T08:00:00Z,73.6,46.9,41.3,B
2025-10-16T08:30:00Z,74.1,47.7,38.8,B
2025-10-16T09:00:00Z,75.3,48.5,43.2,B
2025-10-16T09:30:00Z,76.0,49.3,45.6,B
2025-10-16T10:00:00Z,77.2,50.1,42.4,B
2025-10-16T10:30:00Z,78.1,51.0,40.1,B
2025-10-16T11:00:00Z,79.0,51.8,44.6,B
2025-10-16T11:30:00Z,79.8,52.6,46.8,B
2025-10-16T12:00:00Z,80.9,53.4,43.9,B
2025-10-16T12:30:00Z,81.5,54.1,41.7,B
2025-10-16T13:00:00Z,82.2,54.9,45.1,B
2025-10-16T13:30:00Z,82.7,55.5,47.3,B
2025-10-16T14:00:00Z,82.4,55.2,44.0,B
2025-10-16T14:30:00Z,81.9,54.6,42.5,B
